Fördernehmer_in,eindeutige Nummer des Digitalisats,Analogfilm,3D,Sonstige,Ressourcenadresse,Titel des Digitalisats,Kommentar (optional),Kontextadresse,Kommentar (optional)
Franziskanerkloster Graz,A-Gf_A63_51-028r_M,,,,https://hdl.handle.net/21.11115/0000-0012-23E2-5@format=tif,A-Gf_A63_51-028r (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-028r.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-028r.tif,
Franziskanerkloster Graz,A-Gf_A63_51-028v_M,,,,https://hdl.handle.net/21.11115/0000-0012-23E3-4@format=tif,A-Gf_A63_51-028v (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-028v.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-028v.tif,
Franziskanerkloster Graz,A-Gf_A63_51-029r_M,,,,https://hdl.handle.net/21.11115/0000-0012-23E4-3@format=tif,A-Gf_A63_51-029r (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-029r.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-029r.tif,
Franziskanerkloster Graz,A-Gf_A63_51-029v_M,,,,https://hdl.handle.net/21.11115/0000-0012-23E5-2@format=tif,A-Gf_A63_51-029v (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-029v.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-029v.tif,
Franziskanerkloster Graz,A-Gf_A63_51-030r_M,,,,https://hdl.handle.net/21.11115/0000-0012-23E6-1@format=tif,A-Gf_A63_51-030r (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-030r.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-030r.tif,
Franziskanerkloster Graz,A-Gf_A63_51-030v_M,,,,https://hdl.handle.net/21.11115/0000-0012-23E7-0@format=tif,A-Gf_A63_51-030v (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-030v.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-030v.tif,
Franziskanerkloster Graz,A-Gf_A63_51-031r_M,,,,https://hdl.handle.net/21.11115/0000-0012-23E8-F@format=tif,A-Gf_A63_51-031r (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-031r.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-031r.tif,
Franziskanerkloster Graz,A-Gf_A63_51-031v_M,,,,https://hdl.handle.net/21.11115/0000-0012-23E9-E@format=tif,A-Gf_A63_51-031v (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-031v.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-031v.tif,
Franziskanerkloster Graz,A-Gf_A63_51-032r_M,,,,https://hdl.handle.net/21.11115/0000-0012-23EA-D@format=tif,A-Gf_A63_51-032r (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-032r.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-032r.tif,
Franziskanerkloster Graz,A-Gf_A63_51-032v_M,,,,https://hdl.handle.net/21.11115/0000-0012-23EB-C@format=tif,A-Gf_A63_51-032v (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-032v.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-032v.tif,
Franziskanerkloster Graz,A-Gf_A63_51-033r_M,,,,https://hdl.handle.net/21.11115/0000-0012-23EC-B@format=tif,A-Gf_A63_51-033r (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-033r.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-033r.tif,
Franziskanerkloster Graz,A-Gf_A63_51-033v_M,,,,https://hdl.handle.net/21.11115/0000-0012-23ED-A@format=tif,A-Gf_A63_51-033v (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-033v.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-033v.tif,
Franziskanerkloster Graz,A-Gf_A63_51-034r_M,,,,https://hdl.handle.net/21.11115/0000-0012-23EE-9@format=tif,A-Gf_A63_51-034r (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-034r.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-034r.tif,
Franziskanerkloster Graz,A-Gf_A63_51-034v_M,,,,https://hdl.handle.net/21.11115/0000-0012-23EF-8@format=tif,A-Gf_A63_51-034v (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-034v.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-034v.tif,
Franziskanerkloster Graz,A-Gf_A63_51-035r_M,,,,https://hdl.handle.net/21.11115/0000-0012-23F0-5@format=tif,A-Gf_A63_51-035r (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-035r.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-035r.tif,
Franziskanerkloster Graz,A-Gf_A63_51-035v_M,,,,https://hdl.handle.net/21.11115/0000-0012-23F1-4@format=tif,A-Gf_A63_51-035v (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-035v.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-035v.tif,
Franziskanerkloster Graz,A-Gf_A63_51-036r_M,,,,https://hdl.handle.net/21.11115/0000-0012-23F2-3@format=tif,A-Gf_A63_51-036r (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-036r.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-036r.tif,
